note_id,issuer,underlying,issue_date,S0,par,maturity,n_obs,coupon_rate,autocall_trigger,coupon_barrier,ki_barrier,memory,first_autocall_obs,risk_free_rate,atm_iv,div_yield,issuer_estimated_value,outcome,realized_payoff,realized_return,holding_period_years
JP-ORCL-202101,JPMorgan,ORCL,2021-01-20,54.92,1000.0,2.0,8,0.02125,1.0,0.7,0.6,True,1,0.0013,0.1818,0.0044,965.7,autocalled,1021.25,0.0213,0.25
HS-AMD-202311,HSBC Bank,AMD,2023-11-22,120.62,1000.0,3.0,12,0.035,1.0,0.6,0.6,True,1,0.0489,0.4075,0.0,967.86,autocalled,1035.0,0.035,0.25
CI-SPX-202210,Citigroup,SPX,2022-10-06,3693.23,1000.0,1.99,8,0.025875,1.0,0.75,0.75,True,1,0.0423,0.2342,0.0,982.7,autocalled,1025.88,0.0259,0.25
CI-SPY-202204,Citigroup,SPY,2022-04-21,439.92,1000.0,1.0,12,0.008917,1.0,0.85,0.85,True,1,0.0268,0.2173,0.0132,995.6,matured_par,1107.0,0.107,1.0
HS-ORCL-202602,HSBC USA,ORCL,2026-02-27,147.89,1000.0,1.49,6,0.05,1.0,0.5,0.5,True,1,0.0338,0.5649,0.0135,977.56,matured_par,1300.0,0.3,1.49
GS-VLO-202101,GS Finance,VLO,2021-01-08,57.32,1000.0,5.01,20,0.0275,1.0,0.55,0.55,False,1,0.0014,0.7814,0.0171,903.0,autocalled,1027.5,0.0275,0.25
GS-GM-202102,GS Finance,GM,2021-02-05,50.68,1000.0,3.0,12,0.02675,1.0,0.5,0.5,False,1,0.0009,0.428,0.0,934.0,autocalled,1026.75,0.0267,0.25
GS-ICLN-202101,GS Finance,ICLN,2021-01-29,30.14,1000.0,1.51,6,0.0275,1.0,0.6,0.6,False,1,0.0011,0.3911,0.0015,950.0,matured_par,1165.0,0.165,1.51
GS-MU-202304,GS Finance,MU,2023-04-25,61.46,1000.0,2.0,8,0.03145,1.0,0.5,0.5,False,1,0.0386,0.4001,0.0075,982.0,autocalled,1031.45,0.0315,0.25
HS-NVDA-202204,HSBC USA,NVDA,2022-04-18,212.25,1000.0,1.26,15,0.012292,1.0,0.6,0.6,False,1,0.0246,0.6754,0.0001,955.0,autocalled,1122.92,0.1229,0.92
HS-BA-202209,HSBC USA,BA,2022-09-16,144.29,1000.0,1.1,13,0.015208,1.0,0.67,0.67,False,1,0.0385,0.4053,0.0,972.8,autocalled,1030.42,0.0304,0.17
HS-MSFT-202312,HSBC USA,MSFT,2023-12-07,370.95,1000.0,1.26,15,0.008508,1.0,0.75,0.75,False,1,0.0458,0.2212,0.0075,980.83,autocalled,1017.02,0.017,0.17
MO-BAC-202304,Morgan Stanley,BAC,2023-04-20,34.12,1000.0,2.01,8,0.025375,1.0,0.7,0.7,False,1,0.0414,0.3143,0.0255,971.1,autocalled,1025.38,0.0254,0.25
MO-AMZN-202310,Morgan Stanley,AMZN,2023-10-26,119.57,1000.0,1.51,6,0.03,1.0,0.7,0.7,False,1,0.0502,0.3426,0.0,972.2,autocalled,1030.0,0.03,0.25
JP-MGM-202303,JPMorgan,MGM,2023-03-23,41.23,1000.0,2.01,8,0.0304,1.0,0.5,0.5,False,1,0.0376,0.3538,0.0002,970.6,autocalled,1030.4,0.0304,0.25
JP-BA-202203,JPMorgan,BA,2022-03-24,189.06,1000.0,1.01,4,0.03625,1.0,0.7,0.7,False,1,0.0213,0.43,0.0,975.4,autocalled,1072.5,0.0725,0.76
JP-DIS-202306,JPMorgan,DIS,2023-06-30,88.94,1000.0,2.01,24,0.008417,1.0,0.7,0.7,False,1,0.0487,0.2996,0.0,978.3,autocalled,1042.09,0.0421,0.42
JP-F-202102,JPMorgan,F,2021-02-23,11.64,1000.0,1.0,4,0.025,1.0,0.7,0.7,False,1,0.0011,0.3585,0.0,974.2,autocalled,1025.0,0.025,0.25
JP-PYPL-202309,JPMorgan,PYPL,2023-09-21,58.12,1000.0,1.01,4,0.03125,1.0,0.7,0.7,False,1,0.0512,0.4137,0.0,978.8,autocalled,1031.25,0.0312,0.25
JP-ROKU-202111,JPMorgan,ROKU,2021-11-12,268.45,1000.0,3.01,12,0.043125,1.0,0.6,0.6,False,1,0.0053,0.4277,0.0,968.1,matured_loss,278.23,-0.7218,3.01
