note_id,issuer,underlying,issue_date,S0,par,maturity,n_obs,coupon_rate,autocall_trigger,coupon_barrier,ki_barrier,memory,first_autocall_obs,risk_free_rate,atm_iv,div_yield,issuer_estimated_value
JP-ORCL-202101,JPMorgan,ORCL,2021-01-20,54.92,1000.0,2.0,8,0.02125,1.0,0.7,0.6,True,1,0.045,0.3,0.01,965.7
HS-AMD-202311,HSBC Bank,AMD,2023-11-22,120.62,1000.0,3.0,12,0.035,1.0,0.6,0.6,True,1,0.045,0.3,0.01,967.86
CI-SPX-202210,Citigroup,SPX,2022-10-06,3693.23,1000.0,1.99,8,0.025875,1.0,0.75,0.75,True,1,0.045,0.3,0.01,982.7
CI-SPY-202204,Citigroup,SPY,2022-04-21,439.92,1000.0,1.0,12,0.008917,1.0,0.85,0.85,True,1,0.045,0.3,0.01,995.6
HS-ORCL-202602,HSBC USA,ORCL,2026-02-27,147.89,1000.0,1.49,6,0.05,1.0,0.5,0.5,True,1,0.045,0.3,0.01,977.56
GS-VLO-202101,GS Finance,VLO,2021-01-08,57.32,1000.0,5.01,20,0.0275,1.0,0.55,0.55,False,1,0.045,0.3,0.01,903.0
GS-GM-202102,GS Finance,GM,2021-02-05,50.68,1000.0,3.0,12,0.02675,1.0,0.5,0.5,False,1,0.045,0.3,0.01,934.0
GS-ICLN-202101,GS Finance,ICLN,2021-01-29,30.14,1000.0,1.51,6,0.0275,1.0,0.6,0.6,False,1,0.045,0.3,0.01,950.0
GS-MU-202304,GS Finance,MU,2023-04-25,61.46,1000.0,2.0,8,0.03145,1.0,0.5,0.5,False,1,0.045,0.3,0.01,982.0
HS-NVDA-202204,HSBC USA,NVDA,2022-04-18,212.25,1000.0,1.26,15,0.012292,1.0,0.6,0.6,False,1,0.045,0.3,0.01,955.0
HS-BA-202209,HSBC USA,BA,2022-09-16,144.29,1000.0,1.1,13,0.015208,1.0,0.67,0.67,False,1,0.045,0.3,0.01,972.8
HS-MSFT-202312,HSBC USA,MSFT,2023-12-07,370.95,1000.0,1.26,15,0.008508,1.0,0.75,0.75,False,1,0.045,0.3,0.01,980.83
MO-BAC-202304,Morgan Stanley,BAC,2023-04-20,34.12,1000.0,2.01,8,0.025375,1.0,0.7,0.7,False,1,0.045,0.3,0.01,971.1
MO-AMZN-202310,Morgan Stanley,AMZN,2023-10-26,119.57,1000.0,1.51,6,0.03,1.0,0.7,0.7,False,1,0.045,0.3,0.01,972.2
JP-MGM-202303,JPMorgan,MGM,2023-03-23,41.23,1000.0,2.01,8,0.0304,1.0,0.5,0.5,False,1,0.045,0.3,0.01,970.6
JP-BA-202203,JPMorgan,BA,2022-03-24,189.06,1000.0,1.01,4,0.03625,1.0,0.7,0.7,False,1,0.045,0.3,0.01,975.4
JP-DIS-202306,JPMorgan,DIS,2023-06-30,88.94,1000.0,2.01,24,0.008417,1.0,0.7,0.7,False,1,0.045,0.3,0.01,978.3
JP-F-202102,JPMorgan,F,2021-02-23,11.64,1000.0,1.0,4,0.025,1.0,0.7,0.7,False,1,0.045,0.3,0.01,974.2
JP-PYPL-202309,JPMorgan,PYPL,2023-09-21,58.12,1000.0,1.01,4,0.03125,1.0,0.7,0.7,False,1,0.045,0.3,0.01,978.8
JP-ROKU-202111,JPMorgan,ROKU,2021-11-12,268.45,1000.0,3.01,12,0.043125,1.0,0.6,0.6,False,1,0.045,0.3,0.01,968.1
