note_id,issuer,underlying,issue_date,S0,maturity,n_obs,coupon_rate,autocall_trigger,coupon_barrier,ki_barrier,memory,issuer_estimated_value,first_autocall_obs
GS-ORCL-2201,Goldman Sachs,ORCL,2022-01-15,86.50,2.0,8,0.025,1.0,0.70,0.60,True,965.00,2
GS-AAPL-2201,Goldman Sachs,AAPL,2022-01-20,164.50,1.5,6,0.018,1.0,0.75,0.65,True,970.00,2
HSBC-NVDA-2206,HSBC,NVDA,2022-06-15,165.00,2.0,8,0.035,1.0,0.70,0.55,True,945.00,2
JPM-MSFT-2203,JP Morgan,MSFT,2022-03-10,295.00,2.0,8,0.020,1.0,0.75,0.65,True,972.00,2
MS-TSLA-2204,Morgan Stanley,TSLA,2022-04-20,1005.00,1.5,6,0.045,1.0,0.65,0.55,True,930.00,2
GS-META-2209,Goldman Sachs,META,2022-09-15,149.00,2.0,8,0.038,1.0,0.70,0.60,True,940.00,2
HSBC-AMZN-2201,HSBC,AMZN,2022-01-10,164.00,2.0,8,0.022,1.0,0.75,0.65,True,968.00,2
JPM-JPM-2206,JP Morgan,JPM,2022-06-01,125.00,2.0,8,0.023,1.0,0.70,0.60,True,960.00,2
GS-GOOG-2203,Goldman Sachs,GOOG,2022-03-01,135.00,1.5,6,0.020,1.0,0.75,0.65,True,971.00,2
MS-ORCL-2209,Morgan Stanley,ORCL,2022-09-20,67.00,2.0,8,0.030,1.0,0.70,0.60,True,955.00,2
HSBC-AAPL-2206,HSBC,AAPL,2022-06-10,142.00,2.0,8,0.020,1.0,0.75,0.65,True,970.00,2
GS-NVDA-2203,Goldman Sachs,NVDA,2022-03-15,250.00,2.0,8,0.040,1.0,0.65,0.55,True,935.00,2
